# DG1: the direct proposal-level guard benchmark (no model in the loop)
# generator: code/scripts/direct_guard_benchmark.py (l1-direct-guard-1)
# sources:
#   code/suite/v0.2/suite.jsonl              sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   code/schema/adjustments.schema.json      sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
#   code/l1guard/ (guard.py, config.py, findings.py, lb2.py, verdict.py)
#   analysis/ladder/ladder_anchors.json      (self-check target, ORACLE+G_CERT)
#   analysis/T1_e1_main.csv                  (LLM-mediated comparison)
# canonical proposal per class: benign=gold_ops, V1=literal_ops, V2=literal_ops, V3=gold_ops, V4=trap_ops, V5=gold_ops, V6=forbidden_ops
#   V5 has no representable proposal (gold/literal/trap/forbidden all empty, by construction)
# guard: lb_tier=tier2, tau=0.20, rule=atc, seed=0; three published configs
# run: 5522 guard calls, 4 worker(s), cores 0-3, 159.56 s wall
item_id,primary_class,subclass,twin_id,stratum,instance_id,reading,proposal_field,n_proposal_ops,proposal_empty,config,terminal,stage_reached,refused,refused_stage,blocking_codes,info_codes,infra_error,certified_gap,obj_bh,lb_bh,cert_tier,expected_violation,expected_stage,v1_decodability,quality_visible_candidate,badness
BEN-0019,benign,dangling_order_id,V1-0019,c09_storm2_w80,c09_storm2_w80_u100_0018,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0019,benign,dangling_order_id,V1-0019,c09_storm2_w80,c09_storm2_w80_u100_0018,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0019,benign,dangling_order_id,V1-0019,c09_storm2_w80,c09_storm2_w80_u100_0018,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.148326,338.8592,295.0896,tier2,,,,,0.0
BEN-0019,benign,dangling_order_id,V1-0019,c09_storm2_w80,c09_storm2_w80_u100_0018,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.148326,338.8592,295.0896,tier2,,,,,0.0
BEN-0020,benign,dangling_order_id,V1-0020,c09_storm2_w80,c09_storm2_w80_u100_0023,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0020,benign,dangling_order_id,V1-0020,c09_storm2_w80,c09_storm2_w80_u100_0023,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0020,benign,dangling_order_id,V1-0020,c09_storm2_w80,c09_storm2_w80_u100_0023,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.068275,1317.414,1233.2156,tier2,,,,,0.0
BEN-0020,benign,dangling_order_id,V1-0020,c09_storm2_w80,c09_storm2_w80_u100_0023,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.068275,1317.414,1233.2156,tier2,,,,,0.0
BEN-0021,benign,dangling_order_id,V1-0021,c09_storm2_w80,c09_storm2_w80_u100_0004,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0021,benign,dangling_order_id,V1-0021,c09_storm2_w80,c09_storm2_w80_u100_0004,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0021,benign,dangling_order_id,V1-0021,c09_storm2_w80,c09_storm2_w80_u100_0004,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.062286,550.7424,518.4504,tier2,,,,,0.0
BEN-0021,benign,dangling_order_id,V1-0021,c09_storm2_w80,c09_storm2_w80_u100_0004,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.062286,550.7424,518.4504,tier2,,,,,0.0
BEN-0022,benign,dangling_order_id,V1-0022,c09_storm2_w80,c09_storm2_w80_u100_0009,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0022,benign,dangling_order_id,V1-0022,c09_storm2_w80,c09_storm2_w80_u100_0009,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0022,benign,dangling_order_id,V1-0022,c09_storm2_w80,c09_storm2_w80_u100_0009,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.035791,1185.1872,1144.2336,tier2,,,,,0.0
BEN-0022,benign,dangling_order_id,V1-0022,c09_storm2_w80,c09_storm2_w80_u100_0009,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.035791,1185.1872,1144.2336,tier2,,,,,0.0
BEN-0023,benign,dangling_order_id,V1-0023,c09_storm2_w80,c09_storm2_w80_u100_0014,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0023,benign,dangling_order_id,V1-0023,c09_storm2_w80,c09_storm2_w80_u100_0014,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0023,benign,dangling_order_id,V1-0023,c09_storm2_w80,c09_storm2_w80_u100_0014,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.020765,784.4128,768.456,tier2,,,,,0.0
BEN-0023,benign,dangling_order_id,V1-0023,c09_storm2_w80,c09_storm2_w80_u100_0014,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.020765,784.4128,768.456,tier2,,,,,0.0
BEN-0024,benign,dangling_order_id,V1-0024,c09_storm2_w80,c09_storm2_w80_u100_0019,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0024,benign,dangling_order_id,V1-0024,c09_storm2_w80,c09_storm2_w80_u100_0019,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0024,benign,dangling_order_id,V1-0024,c09_storm2_w80,c09_storm2_w80_u100_0019,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.008896,390.2576,386.8164,tier2,,,,,0.0
BEN-0024,benign,dangling_order_id,V1-0024,c09_storm2_w80,c09_storm2_w80_u100_0019,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.008896,390.2576,386.8164,tier2,,,,,0.0
BEN-0025,benign,dangling_order_id,V1-0025,c09_storm2_w80,c09_storm2_w80_u100_0000,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,1.964
BEN-0025,benign,dangling_order_id,V1-0025,c09_storm2_w80,c09_storm2_w80_u100_0000,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,1.964
BEN-0025,benign,dangling_order_id,V1-0025,c09_storm2_w80,c09_storm2_w80_u100_0000,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.127399,609.202,540.3608,tier2,,,,,1.964
BEN-0025,benign,dangling_order_id,V1-0025,c09_storm2_w80,c09_storm2_w80_u100_0000,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.127399,609.202,540.3608,tier2,,,,,1.964
BEN-0026,benign,dangling_order_id,V1-0026,c09_storm2_w80,c09_storm2_w80_u100_0005,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0026,benign,dangling_order_id,V1-0026,c09_storm2_w80,c09_storm2_w80_u100_0005,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0026,benign,dangling_order_id,V1-0026,c09_storm2_w80,c09_storm2_w80_u100_0005,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.017173,464.7136,456.868,tier2,,,,,0.0
BEN-0026,benign,dangling_order_id,V1-0026,c09_storm2_w80,c09_storm2_w80_u100_0005,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.017173,464.7136,456.868,tier2,,,,,0.0
BEN-0027,benign,dangling_order_id,V1-0027,c09_storm2_w80,c09_storm2_w80_u100_0010,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0027,benign,dangling_order_id,V1-0027,c09_storm2_w80,c09_storm2_w80_u100_0010,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0027,benign,dangling_order_id,V1-0027,c09_storm2_w80,c09_storm2_w80_u100_0010,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.009313,558.14,552.99,tier2,,,,,0.0
BEN-0027,benign,dangling_order_id,V1-0027,c09_storm2_w80,c09_storm2_w80_u100_0010,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.009313,558.14,552.99,tier2,,,,,0.0
BEN-0028,benign,dangling_order_id,V1-0028,c09_storm2_w80,c09_storm2_w80_u100_0015,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,-5.984
BEN-0028,benign,dangling_order_id,V1-0028,c09_storm2_w80,c09_storm2_w80_u100_0015,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,-5.984
BEN-0028,benign,dangling_order_id,V1-0028,c09_storm2_w80,c09_storm2_w80_u100_0015,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.033373,1752.8364,1696.2288,tier2,,,,,-5.984
