# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
system,arm,model,config,mode,thinking,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_vs_rule_pct
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_free,-,benign,2400,,0.007083,,,0.992917,,,,,,,,,1.000000,0.042639,0.123812,0.123812,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_constrained,-,full_suite,6000,0.747167,,,0.235333,0.017500,,,,0.607778,0.500000,0.485833,0.378056,0.360833,1.000000,0.010113,0.065639,0.196534,0.982500,691.9907,567.9288,1566.9268,2859.5096,-0.0670,-0.000097
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_constrained,-,oracle_domain,3000,0.951000,,,0.014000,0.035000,,,,0.930000,0.418333,0.930000,0.418333,0.930000,1.000000,0.010113,0.064160,0.192543,0.965000,691.5513,567.9288,1566.9268,2859.5096,-0.5064,-0.000732
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_constrained,-,benign,2400,0.956250,,,,0.043750,,,,,,,,,1.000000,0.010113,0.062286,0.192543,0.956250,680.8718,567.9288,1566.9268,2859.5096,-11.1859,-0.016163
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_free,-,full_suite,6000,0.073000,,,0.529833,0.397167,,,,0.116944,0.010000,0.116944,0.010000,0.103611,1.000000,0.010894,0.065639,0.123812,0.602833,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_free,-,oracle_domain,3000,0.107667,,,0.098000,0.794333,,,,0.510000,0.000000,0.510000,0.000000,0.510000,1.000000,0.012309,0.065639,0.123812,0.205667,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_free,-,benign,2400,0.007083,,,,0.992917,,,,,,,,,1.000000,0.042639,0.123812,0.123812,0.007083,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_constrained,-,full_suite,6000,,0.885167,,,,0.114833,,,0.827778,0.653333,0.660556,0.486111,0.560278,1.000000,0.016342,0.286652,172.204800,0.000000,1734.6098,619.2284,1629.5144,1000480.2231,1042.5521,1.506453
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_constrained,-,oracle_domain,3000,,0.976000,,,,0.024000,,,0.995000,0.311667,0.995000,0.311667,0.995000,1.000000,0.010113,0.069219,0.286652,0.000000,692.0102,567.9288,1566.9268,2859.5096,-0.0475,-0.000069
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_constrained,-,benign,2400,,0.971250,,,,0.028750,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,681.2380,567.9288,1566.9268,2859.5096,-10.8196,-0.015634
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_free,-,full_suite,6000,,1.000000,,,,,,,1.000000,0.009167,1.000000,0.009167,0.650000,1.000000,0.010113,0.069219,0.286652,0.000000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_free,-,oracle_domain,3000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_free,-,benign,2400,,1.000000,,,,,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_constrained,-,full_suite,6000,,0.869833,,0.118667,0.011500,,,,0.802222,0.627778,0.635000,0.460556,0.534722,1.000000,0.016342,0.286652,172.204800,0.118667,727.6542,619.2284,1569.2312,3987.3928,35.5965,0.051436
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_constrained,-,oracle_domain,3000,,0.976000,,0.001000,0.023000,,,,0.995000,0.311667,0.995000,0.311667,0.995000,1.000000,0.010113,0.069219,0.286652,0.001000,692.0102,567.9288,1566.9268,2859.5096,-0.0475,-0.000069
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_constrained,-,benign,2400,,0.971250,,,0.028750,,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,681.2380,567.9288,1566.9268,2859.5096,-10.8196,-0.015634
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_free,-,full_suite,6000,,0.107000,,0.493000,0.400000,,,,0.178333,0.009167,0.178333,0.009167,0.162500,1.000000,0.010894,0.090335,0.286652,0.493000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_free,-,oracle_domain,3000,,0.130000,,0.070000,0.800000,,,,0.650000,0.000000,0.650000,0.000000,0.650000,1.000000,0.012309,0.090335,0.286652,0.070000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_free,-,benign,2400,,,,,1.000000,,,,,,,,,,,,,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_constrained,-,full_suite,6000,0.752167,,,0.225833,0.022000,,,,0.623611,0.455833,0.460556,0.292778,0.364444,1.000000,0.010113,0.065639,0.196534,0.978000,691.9272,567.9288,1566.9268,2859.5096,-0.1305,-0.000189
