instance_id,stratum,frozen_seed,n_assignments,wwt_bh,lb_bh,gap
c10_replay_400_0002,c10_replay_400,-,400,12.000000,12.000000,0.000000
c10_replay_400_0007,c10_replay_400,-,400,68.000000,68.000000,0.000000
c10_replay_400_0012,c10_replay_400,-,400,65.825200,65.729600,0.001454
c10_replay_400_0017,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0022,c10_replay_400,-,400,146.000000,146.000000,0.000000
c10_replay_400_0003,c10_replay_400,-,400,470.566400,463.000000,0.016342
c10_replay_400_0008,c10_replay_400,-,400,135.000000,135.000000,0.000000
c10_replay_400_0013,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0018,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0023,c10_replay_400,-,400,854.918400,854.918400,0.000000
c10_replay_400_0004,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0009,c10_replay_400,-,400,148.231200,148.000000,0.001562
c10_replay_400_0014,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0019,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_storm2_w80_u100_0000,c10_storm2_w80,-,9350,1853.844000,1853.707600,0.000074
c10_storm2_w80_u100_0005,c10_storm2_w80,-,9509,828.400800,828.048800,0.000425
c10_storm2_w80_u100_0010,c10_storm2_w80,-,9419,548.285200,545.742000,0.004660
c10_storm2_w80_u100_0003,c10_storm2_w80,-,9346,2859.509600,2851.891200,0.002671
c10_storm2_w80_u100_0008,c10_storm2_w80,-,9282,1210.324000,1189.198400,0.017765
c10_storm2_w80_u100_0001,c10_storm2_w80,-,9160,2002.250800,2002.234000,0.000008
c10_storm2_w80_u100_0006,c10_storm2_w80,-,9365,1310.413600,1305.694400,0.003614
c10_storm2_w80_u100_0011,c10_storm2_w80,-,9421,1307.994400,1305.804800,0.001677
c10_storm2_w80_u100_0004,c10_storm2_w80,-,9423,711.102000,709.672400,0.002014
c10_storm2_w80_u100_0009,c10_storm2_w80,-,9287,1728.859600,1719.468000,0.005462
c10_storm2_w80_u100_0002,c10_storm2_w80,-,9240,1422.788400,1304.910000,0.090335
c10_storm2_w80_u100_0007,c10_storm2_w80,-,9508,2612.700000,2612.700000,0.000000
c10_replay_400_0000,c10_replay_400,-,400,208.459200,208.459200,0.000000
c10_replay_400_0005,c10_replay_400,-,400,124.000000,124.000000,0.000000
c10_replay_400_0010,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0015,c10_replay_400,-,400,0.000000,0.000000,0.000000
c10_replay_400_0020,c10_replay_400,-,400,106.000000,106.000000,0.000000
c10_replay_400_0001,c10_replay_400,-,400,101.146800,101.000000,0.001453
c10_replay_400_0006,c10_replay_400,-,400,132.000000,132.000000,0.000000
c10_replay_400_0011,c10_replay_400,-,400,3.000000,3.000000,0.000000
c10_replay_400_0016,c10_replay_400,-,400,5.000000,5.000000,0.000000
c09_storm2_w80_u100_0000,c09_storm2_w80,W0|W1|W2,2269,637.751600,567.489600,0.123812
